Age,PastEmployee,BusinessTravel,Department,Gender,JobRole,NumCompaniesWorked,OverTime
43,No,Travel_Rarely,Human Resources,Male,Human Resources,0,No
37,No,Travel_Rarely,Human Resources,Male,Human Resources,2,No
38,No,Non-Travel,Human Resources,Male,Human Resources,5,No
26,Yes,Travel_Rarely,Human Resources,Female,Human Resources,0,Yes
31,Yes,Travel_Rarely,Human Resources,Male,Human Resources,0,No
29,Yes,Travel_Rarely,Human Resources,Male,Human Resources,4,Yes
28,No,Non-Travel,Human Resources,Male,Human Resources,1,No
29,No,Travel_Rarely,Human Resources,Male,Human Resources,1,No
36,No,Travel_Frequently,Human Resources,Male,Human Resources,1,No
27,Yes,Travel_Frequently,Human Resources,Female,Human Resources,1,No
38,No,Travel_Frequently,Human Resources,Male,Human Resources,0,Yes
55,No,Travel_Rarely,Human Resources,Male,Manager,4,Yes
25,No,Travel_Rarely,Human Resources,Female,Human Resources,4,No
35,No,Travel_Rarely,Human Resources,Female,Human Resources,1,Yes
49,No,Travel_Frequently,Research & Development,Male,Research Scientist,1,No
37,Yes,Travel_Rarely,Research & Development,Male,Laboratory Technician,6,Yes
33,No,Travel_Frequently,Research & Development,Female,Research Scientist,1,Yes
27,No,Travel_Rarely,Research & Development,Male,Laboratory Technician,9,No
32,No,Travel_Frequently,Research & Development,Male,Laboratory Technician,0,No
59,No,Travel_Rarely,Research & Development,Female,Laboratory Technician,4,Yes
30,No,Travel_Rarely,Research & Development,Male,Laboratory Technician,1,No
38,No,Travel_Frequently,Research & Development,Male,Manufacturing Director,0,No
36,No,Travel_Rarely,Research & Development,Male,Healthcare Representative,6,No
35,No,Travel_Rarely,Research & Development,Male,Laboratory Technician,0,No
29,No,Travel_Rarely,Research & Development,Female,Laboratory Technician,0,Yes
31,No,Travel_Rarely,Research & Development,Male,Research Scientist,1,No
34,No,Travel_Rarely,Research & Development,Male,Laboratory Technician,0,No
28,Yes,Travel_Rarely,Research & Development,Male,Laboratory Technician,5,Yes
29,No,Travel_Rarely,Research & Development,Female,Manufacturing Director,1,No
32,No,Travel_Rarely,Research & Development,Male,Research Scientist,0,Yes
22,No,Non-Travel,Research & Development,Male,Laboratory Technician,1,Yes
38,No,Travel_Rarely,Research & Development,Male,Research Scientist,5,Yes
24,No,Non-Travel,Research & Development,Female,Manufacturing Director,0,No
34,No,Travel_Rarely,Research & Development,Female,Research Director,0,No
21,No,Travel_Rarely,Research & Development,Male,Research Scientist,1,No
34,Yes,Travel_Rarely,Research & Development,Male,Research Scientist,2,No
53,No,Travel_Rarely,Research & Development,Female,Manager,4,No
32,Yes,Travel_Frequently,Research & Development,Female,Research Scientist,1,Yes
44,No,Travel_Rarely,Research & Development,Female,Healthcare Representative,3,No
33,No,Travel_Rarely,Research & Development,Male,Laboratory Technician,4,No
44,No,Travel_Rarely,Research & Development,Male,Healthcare Representative,2,Yes
30,No,Travel_Rarely,Research & Development,Male,Laboratory Technician,1,No
24,Yes,Travel_Rarely,Research & Development,Male,Research Scientist,2,Yes
43,No,Travel_Rarely,Research & Development,Female,Research Scientist,1,No
36,No,Travel_Rarely,Research & Development,Female,Research Scientist,9,Yes
35,No,Travel_Rarely,Research & Development,Male,Laboratory Technician,1,No
27,No,Travel_Rarely,Research & Development,Female,Laboratory Technician,1,No
26,Yes,Travel_Rarely,Research & Development,Male,Laboratory Technician,1,No
30,No,Travel_Frequently,Research & Development,Female,Laboratory Technician,1,No
41,Yes,Travel_Rarely,Research & Development,Female,Research Director,1,No
37,No,Travel_Rarely,Research & Development,Male,Research Scientist,4,No
35,No,Travel_Rarely,Research & Development,Male,Laboratory Technician,1,No
48,Yes,Travel_Rarely,Research & Development,Male,Laboratory Technician,9,Yes
28,Yes,Travel_Rarely,Research & Development,Male,Laboratory Technician,1,Yes
35,No,Non-Travel,Research & Development,Male,Healthcare Representative,2,Yes
33,No,Travel_Frequently,Research & Development,Female,Research Director,1,Yes
35,No,Travel_Rarely,Research & Development,Female,Laboratory Technician,3,Yes
31,No,Travel_Rarely,Research & Development,Male,Laboratory Technician,3,No
37,No,Travel_Rarely,Research & Development,Male,Manufacturing Director,1,No
32,No,Travel_Rarely,Research & Development,Male,Manufacturing Director,1,Yes
38,No,Travel_Frequently,Research & Development,Female,Laboratory Technician,1,No
50,No,Travel_Rarely,Research & Development,Female,Research Director,5,Yes
36,No,Travel_Rarely,Research & Development,Female,Healthcare Representative,1,No
55,No,Travel_Rarely,Research & Development,Female,Manager,2,Yes
36,No,Travel_Frequently,Research & Development,Male,Manufacturing Director,1,No
45,No,Travel_Rarely,Research & Development,Male,Research Scientist,2,No
35,No,Travel_Frequently,Research & Development,Male,Research Scientist,4,No
36,Yes,Travel_Rarely,Research & Development,Male,Research Scientist,0,Yes
29,No,Travel_Rarely,Research & Development,Male,Research Scientist,0,No
31,No,Travel_Rarely,Research & Development,Male,Research Scientist,1,No
32,No,Travel_Rarely,Research & Development,Male,Research Scientist,1,No
36,No,Travel_Rarely,Research & Development,Female,Laboratory Technician,3,No
31,No,Travel_Rarely,Research & Development,Female,Manufacturing Director,1,No
45,No,Travel_Rarely,Research & Development,Male,Research Director,4,Yes
37,No,Travel_Rarely,Research & Development,Male,Research Director,4,No
30,No,Travel_Rarely,Research & Development,Male,Laboratory Technician,1,Yes
35,No,Travel_Rarely,Research & Development,Male,Research Scientist,1,No
38,No,Non-Travel,Research & Development,Female,Research Scientist,7,Yes
34,No,Travel_Rarely,Research & Development,Male,Manufacturing Director,1,No
56,No,Travel_Rarely,Research & Development,Male,Manufacturing Director,4,No
51,No,Travel_Rarely,Research & Development,Male,Laboratory Technician,3,No
30,No,Travel_Rarely,Research & Development,Male,Healthcare Representative,1,No
40,No,Travel_Frequently,Research & Development,Male,Healthcare Representative,1,No
46,No,Travel_Frequently,Research & Development,Male,Healthcare Representative,2,Yes
54,No,Travel_Rarely,Research & Development,Female,Research Director,9,No
44,No,Non-Travel,Research & Development,Male,Laboratory Technician,4,No
32,No,Travel_Rarely,Research & Development,Male,Research Scientist,1,No
20,Yes,Travel_Frequently,Research & Development,Female,Laboratory Technician,1,Yes
34,No,Travel_Rarely,Research & Development,Female,Research Scientist,1,No
37,No,Non-Travel,Research & Development,Male,Healthcare Representative,5,No
50,No,Travel_Frequently,Research & Development,Female,Research Director,3,Yes
25,No,Travel_Rarely,Research & Development,Male,Research Scientist,1,No
22,No,Travel_Rarely,Research & Development,Female,Laboratory Technician,1,No
51,No,Travel_Frequently,Research & Development,Female,Healthcare Representative,3,No
34,Yes,Travel_Frequently,Research & Development,Male,Laboratory Technician,1,Yes
24,No,Travel_Rarely,Research & Development,Male,Laboratory Technician,0,No
34,No,Travel_Rarely,Research & Development,Female,Research Scientist,6,No
34,No,Travel_Rarely,Research & Development,Female,Manager,2,No
36,No,Travel_Rarely,Research & Development,Female,Laboratory Technician,5,No
30,No,Travel_Frequently,Research & Development,Male,Research Scientist,1,No
56,Yes,Travel_Rarely,Research & Development,Female,Research Scientist,9,Yes
51,No,Travel_Rarely,Research & Development,Male,Research Director,7,No
26,No,Travel_Rarely,Research & Development,Female,Research Scientist,1,No
58,Yes,Travel_Rarely,Research & Development,Female,Healthcare Representative,1,No
22,No,Travel_Rarely,Research & Development,Male,Laboratory Technician,0,No
49,No,Travel_Rarely,Research & Development,Female,Manufacturing Director,1,No
43,No,Travel_Frequently,Research & Development,Female,Research Scientist,4,No
36,No,Travel_Rarely,Research & Development,Male,Manufacturing Director,6,No
51,Yes,Travel_Frequently,Research & Development,Male,Manufacturing Director,2,No
32,Yes,Travel_Rarely,Research & Development,Female,Laboratory Technician,7,No
45,No,Travel_Rarely,Research & Development,Male,Research Scientist,5,No
38,No,Travel_Rarely,Research & Development,Female,Research Scientist,3,Yes
30,No,Travel_Rarely,Research & Development,Female,Research Scientist,1,No
30,No,Travel_Rarely,Research & Development,Female,Research Scientist,5,No
30,No,Travel_Rarely,Research & Development,Male,Laboratory Technician,0,No
41,No,Travel_Frequently,Research & Development,Male,Manager,4,No
41,No,Travel_Rarely,Research & Development,Male,Laboratory Technician,2,No
19,No,Travel_Rarely,Research & Development,Female,Laboratory Technician,1,No
40,No,Travel_Frequently,Research & Development,Female,Research Scientist,1,No
45,No,Travel_Rarely,Research & Development,Male,Laboratory Technician,8,No
29,No,Non-Travel,Research & Development,Male,Manufacturing Director,1,No
51,No,Travel_Rarely,Research & Development,Male,Manufacturing Director,2,No
58,No,Travel_Rarely,Research & Development,Female,Research Scientist,4,Yes
22,No,Travel_Rarely,Research & Development,Male,Research Scientist,1,No
27,No,Non-Travel,Research & Development,Male,Research Scientist,6,No
28,No,Travel_Rarely,Research & Development,Male,Research Scientist,1,No
57,No,Travel_Rarely,Research & Development,Male,Healthcare Representative,3,Yes
27,No,Non-Travel,Research & Development,Male,Research Scientist,1,Yes
50,No,Travel_Rarely,Research & Development,Female,Manager,3,No
41,No,Travel_Rarely,Research & Development,Male,Research Scientist,4,No
32,No,Travel_Rarely,Research & Development,Male,Research Scientist,3,No
27,No,Travel_Rarely,Research & Development,Male,Research Scientist,0,Yes
36,No,Travel_Frequently,Research & Development,Male,Laboratory Technician,4,No
30,No,Non-Travel,Research & Development,Male,Laboratory Technician,1,No
56,No,Travel_Rarely,Research & Development,Female,Research Scientist,4,Yes
33,No,Travel_Rarely,Research & Development,Male,Research Scientist,0,No
19,Yes,Travel_Rarely,Research & Development,Male,Laboratory Technician,1,No
38,No,Travel_Rarely,Research & Development,Female,Laboratory Technician,1,No
31,No,Travel_Rarely,Research & Development,Female,Research Scientist,8,Yes
34,No,Travel_Rarely,Research & Development,Female,Research Scientist,2,No
50,No,Travel_Rarely,Research & Development,Male,Laboratory Technician,2,No
53,No,Travel_Rarely,Research & Development,Female,Manufacturing Director,1,No
33,No,Travel_Rarely,Research & Development,Female,Research Scientist,1,No
40,No,Travel_Rarely,Research & Development,Female,Manager,1,No
55,No,Travel_Rarely,Research & Development,Male,Research Director,8,No
34,No,Travel_Frequently,Research & Development,Male,Manufacturing Director,1,No
51,No,Travel_Rarely,Research & Development,Female,Healthcare Representative,3,No
52,No,Travel_Rarely,Research & Development,Male,Manager,0,No
27,No,Travel_Rarely,Research & Development,Female,Research Scientist,1,No
35,Yes,Travel_Rarely,Research & Development,Male,Manufacturing Director,3,Yes
43,No,Non-Travel,Research & Development,Male,Research Scientist,4,No
45,No,Non-Travel,Research & Development,Male,Manager,9,No
37,No,Travel_Rarely,Research & Development,Male,Research Scientist,1,Yes
35,No,Travel_Frequently,Research & Development,Female,Laboratory Technician,5,No
42,No,Non-Travel,Research & Development,Female,Manufacturing Director,2,No
38,No,Travel_Rarely,Research & Development,Male,Manufacturing Director,9,No
38,No,Travel_Rarely,Research & Development,Male,Manufacturing Director,3,No
27,No,Travel_Frequently,Research & Development,Male,Manufacturing Director,5,No
49,No,Non-Travel,Research & Development,Male,Manufacturing Director,1,Yes
34,No,Travel_Frequently,Research & Development,Male,Research Scientist,1,Yes
40,No,Travel_Rarely,Research & Development,Male,Laboratory Technician,8,Yes
38,Yes,Travel_Rarely,Research & Development,Male,Healthcare Representative,7,Yes
22,No,Travel_Rarely,Research & Development,Male,Research Scientist,1,Yes
36,No,Travel_Frequently,Research & Development,Female,Laboratory Technician,1,No
40,No,Non-Travel,Research & Development,Male,Healthcare Representative,9,No
46,No,Travel_Rarely,Research & Development,Male,Healthcare Representative,7,No
30,No,Non-Travel,Research & Development,Male,Manufacturing Director,1,No
51,No,Travel_Rarely,Research & Development,Male,Research Director,5,No
30,Yes,Travel_Rarely,Research & Development,Female,Research Scientist,5,Yes
29,Yes,Travel_Rarely,Research & Development,Male,Research Scientist,0,No
36,No,Travel_Rarely,Research & Development,Male,Laboratory Technician,8,No
33,No,Travel_Rarely,Research & Development,Female,Research Scientist,6,No
37,No,Travel_Frequently,Research & Development,Male,Research Director,1,Yes
31,No,Non-Travel,Research & Development,Male,Manufacturing Director,0,No
59,No,Travel_Rarely,Research & Development,Male,Research Scientist,3,No
29,Yes,Travel_Rarely,Research & Development,Male,Research Scientist,1,Yes
52,No,Travel_Rarely,Research & Development,Female,Laboratory Technician,7,No
42,No,Travel_Rarely,Research & Development,Male,Manager,1,No
33,Yes,Travel_Rarely,Research & Development,Male,Laboratory Technician,5,Yes
33,Yes,Travel_Rarely,Research & Development,Female,Laboratory Technician,7,No
32,Yes,Travel_Rarely,Research & Development,Male,Laboratory Technician,0,Yes
39,No,Travel_Rarely,Research & Development,Female,Laboratory Technician,7,No
41,No,Travel_Rarely,Research & Development,Male,Research Scientist,2,No
40,No,Travel_Rarely,Research & Development,Male,Research Scientist,1,No
45,No,Travel_Rarely,Research & Development,Male,Manager,0,No
31,No,Travel_Frequently,Research & Development,Male,Research Director,9,No
33,No,Travel_Rarely,Research & Development,Female,Research Scientist,1,No
34,No,Travel_Rarely,Research & Development,Male,Manufacturing Director,6,No
37,No,Travel_Rarely,Research & Development,Female,Research Scientist,2,No
45,No,Travel_Frequently,Research & Development,Male,Manufacturing Director,4,No
37,Yes,Travel_Frequently,Research & Development,Male,Manufacturing Director,6,No
39,No,Travel_Frequently,Research & Development,Female,Healthcare Representative,0,No
29,No,Travel_Rarely,Research & Development,Male,Research Scientist,1,No
42,No,Travel_Rarely,Research & Development,Female,Research Scientist,3,Yes
25,No,Travel_Rarely,Research & Development,Female,Manufacturing Director,0,No
42,No,Travel_Rarely,Research & Development,Female,Laboratory Technician,0,Yes
40,No,Travel_Rarely,Research & Development,Male,Research Director,0,No
51,No,Travel_Rarely,Research & Development,Male,Research Scientist,1,No
31,Yes,Travel_Frequently,Research & Development,Male,Laboratory Technician,0,No
32,No,Travel_Frequently,Research & Development,Male,Laboratory Technician,1,No
32,No,Travel_Rarely,Research & Development,Male,Laboratory Technician,4,No
28,Yes,Travel_Rarely,Research & Development,Male,Laboratory Technician,2,No
31,No,Travel_Rarely,Research & Development,Male,Healthcare Representative,0,No
25,No,Non-Travel,Research & Development,Male,Healthcare Representative,1,No
45,No,Travel_Rarely,Research & Development,Male,Healthcare Representative,0,Yes
36,No,Travel_Rarely,Research & Development,Male,Laboratory Technician,0,No
55,No,Travel_Rarely,Research & Development,Male,Manager,0,Yes
47,Yes,Non-Travel,Research & Development,Male,Manager,1,Yes
28,No,Travel_Rarely,Research & Development,Male,Research Scientist,1,No
21,No,Travel_Rarely,Research & Development,Male,Research Scientist,1,No
37,No,Non-Travel,Research & Development,Female,Research Director,2,Yes
35,No,Travel_Rarely,Research & Development,Female,Manager,7,No
26,No,Travel_Frequently,Research & Development,Female,Manufacturing Director,1,No
50,No,Travel_Rarely,Research & Development,Male,Research Director,3,No
53,No,Travel_Rarely,Research & Development,Male,Research Director,3,Yes
55,No,Travel_Rarely,Research & Development,Male,Laboratory Technician,3,Yes
26,No,Travel_Frequently,Research & Development,Male,Healthcare Representative,1,Yes
37,No,Travel_Rarely,Research & Development,Female,Research Scientist,1,No
44,Yes,Travel_Frequently,Research & Development,Male,Laboratory Technician,3,Yes
38,No,Travel_Rarely,Research & Development,Male,Healthcare Representative,9,No
26,Yes,Travel_Rarely,Research & Development,Male,Laboratory Technician,2,Yes
28,No,Travel_Rarely,Research & Development,Female,Research Scientist,1,No
49,No,Travel_Frequently,Research & Development,Female,Research Director,9,Yes
36,No,Travel_Rarely,Research & Development,Male,Research Scientist,4,No
37,No,Travel_Frequently,Research & Development,Male,Research Scientist,1,Yes
18,Yes,Travel_Rarely,Research & Development,Male,Laboratory Technician,1,No
36,No,Travel_Frequently,Research & Development,Male,Laboratory Technician,4,No
51,No,Travel_Rarely,Research & Development,Male,Manufacturing Director,5,No
28,No,Travel_Rarely,Research & Development,Male,Healthcare Representative,0,No
39,No,Travel_Rarely,Research & Development,Male,Healthcare Representative,0,No
36,No,Non-Travel,Research & Development,Female,Laboratory Technician,7,No
38,No,Travel_Rarely,Research & Development,Female,Research Director,3,No
58,No,Non-Travel,Research & Development,Male,Healthcare Representative,2,Yes
31,No,Travel_Rarely,Research & Development,Male,Research Scientist,0,Yes
45,No,Travel_Frequently,Research & Development,Male,Laboratory Technician,1,No
31,No,Travel_Rarely,Research & Development,Male,Research Scientist,0,Yes
33,No,Travel_Frequently,Research & Development,Female,Manager,6,No
39,No,Travel_Rarely,Research & Development,Male,Manager,1,Yes
43,No,Travel_Frequently,Research & Development,Female,Laboratory Technician,0,No
49,No,Travel_Rarely,Research & Development,Female,Healthcare Representative,7,Yes
52,Yes,Travel_Rarely,Research & Development,Male,Research Scientist,2,No
27,No,Travel_Rarely,Research & Development,Female,Research Scientist,1,Yes
32,No,Travel_Rarely,Research & Development,Female,Research Scientist,7,No
28,Yes,Travel_Rarely,Research & Development,Male,Research Scientist,5,Yes
30,No,Travel_Rarely,Research & Development,Female,Research Scientist,1,No
31,No,Travel_Frequently,Research & Development,Female,Manufacturing Director,1,No
39,No,Travel_Frequently,Research & Development,Male,Manager,1,No
47,No,Travel_Rarely,Research & Development,Male,Research Director,4,No
43,No,Travel_Frequently,Research & Development,Female,Laboratory Technician,1,No
54,No,Travel_Frequently,Research & Development,Female,Research Scientist,3,No
43,No,Travel_Rarely,Research & Development,Female,Healthcare Representative,8,No
45,No,Travel_Rarely,Research & Development,Male,Research Scientist,9,No
29,Yes,Travel_Rarely,Research & Development,Male,Laboratory Technician,1,Yes
29,No,Travel_Rarely,Research & Development,Male,Laboratory Technician,0,No
37,No,Travel_Rarely,Research & Development,Male,Manufacturing Director,7,No
38,No,Travel_Rarely,Research & Development,Male,Research Director,0,Yes
31,No,Travel_Rarely,Research & Development,Female,Manufacturing Director,1,Yes
35,No,Travel_Rarely,Research & Development,Male,Manufacturing Director,0,No
23,No,Travel_Rarely,Research & Development,Male,Research Scientist,1,No
41,No,Travel_Rarely,Research & Development,Male,Manufacturing Director,6,Yes
42,No,Travel_Rarely,Research & Development,Female,Research Director,2,No
32,No,Travel_Rarely,Research & Development,Female,Laboratory Technician,1,No
37,No,Travel_Rarely,Research & Development,Male,Research Scientist,4,Yes
42,No,Travel_Rarely,Research & Development,Male,Healthcare Representative,3,No
57,No,Travel_Rarely,Research & Development,Male,Healthcare Representative,2,No
40,No,Travel_Rarely,Research & Development,Female,Laboratory Technician,3,Yes
37,No,Travel_Rarely,Research & Development,Female,Laboratory Technician,6,No
46,No,Non-Travel,Research & Development,Female,Manufacturing Director,2,No
50,No,Travel_Rarely,Research & Development,Male,Healthcare Representative,6,No
31,No,Travel_Rarely,Research & Development,Male,Research Scientist,0,Yes
29,No,Travel_Rarely,Research & Development,Male,Research Scientist,9,No
35,No,Travel_Rarely,Research & Development,Male,Healthcare Representative,9,No
27,No,Travel_Rarely,Research & Development,Male,Laboratory Technician,1,No
49,No,Travel_Rarely,Research & Development,Male,Healthcare Representative,8,No
36,No,Travel_Rarely,Research & Development,Female,Research Scientist,4,No
55,No,Travel_Rarely,Research & Development,Female,Manager,2,Yes
26,Yes,Travel_Frequently,Research & Development,Male,Research Scientist,0,No
22,No,Travel_Rarely,Research & Development,Female,Research Scientist,1,No
30,Yes,Travel_Frequently,Research & Development,Male,Research Scientist,9,Yes
37,No,Travel_Rarely,Research & Development,Female,Laboratory Technician,1,No
42,No,Travel_Rarely,Research & Development,Female,Laboratory Technician,3,No
37,No,Travel_Rarely,Research & Development,Male,Manufacturing Director,2,Yes
43,No,Travel_Rarely,Research & Development,Male,Research Director,1,No
40,No,Travel_Rarely,Research & Development,Female,Laboratory Technician,6,No
54,No,Travel_Rarely,Research & Development,Male,Research Director,4,No
31,No,Travel_Rarely,Research & Development,Female,Manufacturing Director,1,No
43,No,Travel_Frequently,Research & Development,Male,Laboratory Technician,7,No
43,No,Travel_Rarely,Research & Development,Female,Healthcare Representative,4,Yes
37,No,Non-Travel,Research & Development,Female,Research Scientist,3,Yes
31,No,Travel_Rarely,Research & Development,Male,Laboratory Technician,1,No
39,No,Travel_Frequently,Research & Development,Male,Manager,1,Yes
28,No,Travel_Rarely,Research & Development,Male,Laboratory Technician,1,No
25,Yes,Travel_Rarely,Research & Development,Male,Laboratory Technician,5,No
52,No,Travel_Rarely,Research & Development,Male,Manufacturing Director,2,Yes
45,No,Travel_Rarely,Research & Development,Male,Research Scientist,3,No
52,No,Travel_Rarely,Research & Development,Female,Manager,2,No
42,No,Travel_Frequently,Research & Development,Female,Research Scientist,2,No
30,No,Travel_Rarely,Research & Development,Female,Manufacturing Director,2,No
60,No,Travel_Rarely,Research & Development,Female,Manager,5,No
46,No,Travel_Rarely,Research & Development,Female,Manufacturing Director,2,No
42,No,Travel_Frequently,Research & Development,Female,Healthcare Representative,0,No
38,No,Travel_Frequently,Research & Development,Male,Laboratory Technician,1,Yes
26,No,Travel_Rarely,Research & Development,Female,Research Scientist,1,No
30,No,Non-Travel,Research & Development,Male,Laboratory Technician,4,No
29,No,Travel_Rarely,Research & Development,Male,Research Director,1,No
29,Yes,Travel_Rarely,Research & Development,Female,Research Scientist,5,No
50,No,Travel_Rarely,Research & Development,Male,Manager,0,No
30,No,Non-Travel,Research & Development,Female,Laboratory Technician,0,No
47,No,Travel_Rarely,Research & Development,Female,Manufacturing Director,5,No
46,No,Travel_Rarely,Research & Development,Male,Research Director,6,No
35,No,Travel_Rarely,Research & Development,Male,Laboratory Technician,0,No
54,No,Travel_Rarely,Research & Development,Female,Laboratory Technician,7,No
34,No,Travel_Rarely,Research & Development,Male,Research Scientist,3,No
31,No,Travel_Rarely,Research & Development,Male,Manufacturing Director,1,No
33,Yes,Travel_Rarely,Research & Development,Male,Manager,7,Yes
33,Yes,Travel_Rarely,Research & Development,Male,Laboratory Technician,7,No
35,No,Travel_Rarely,Research & Development,Male,Healthcare Representative,4,Yes
31,Yes,Travel_Frequently,Research & Development,Male,Healthcare Representative,3,No
42,No,Travel_Frequently,Research & Development,Male,Laboratory Technician,4,No
22,Yes,Travel_Frequently,Research & Development,Male,Laboratory Technician,5,No
40,No,Travel_Rarely,Research & Development,Female,Manufacturing Director,7,No
39,No,Travel_Frequently,Research & Development,Female,Laboratory Technician,1,No
42,No,Travel_Rarely,Research & Development,Male,Manufacturing Director,1,Yes
29,No,Travel_Rarely,Research & Development,Male,Manufacturing Director,4,No
33,No,Travel_Rarely,Research & Development,Female,Research Director,4,No
41,No,Non-Travel,Research & Development,Female,Healthcare Representative,2,Yes
26,Yes,Travel_Rarely,Research & Development,Male,Laboratory Technician,1,Yes
37,No,Travel_Rarely,Research & Development,Female,Manufacturing Director,4,No
46,No,Travel_Frequently,Research & Development,Female,Healthcare Representative,5,No
52,No,Travel_Rarely,Research & Development,Male,Research Scientist,3,Yes
38,No,Travel_Rarely,Research & Development,Female,Healthcare Representative,3,No
37,No,Travel_Rarely,Research & Development,Female,Manufacturing Director,6,No
49,No,Travel_Rarely,Research & Development,Male,Research Director,1,Yes
24,No,Travel_Rarely,Research & Development,Male,Research Scientist,1,Yes
24,No,Travel_Rarely,Research & Development,Male,Laboratory Technician,1,No
24,Yes,Travel_Frequently,Research & Development,Female,Laboratory Technician,1,Yes
34,No,Travel_Rarely,Research & Development,Male,Research Scientist,1,Yes
35,No,Travel_Rarely,Research & Development,Male,Laboratory Technician,4,No
27,No,Travel_Rarely,Research & Development,Female,Research Scientist,0,No
20,No,Travel_Rarely,Research & Development,Female,Research Scientist,1,No
42,No,Travel_Rarely,Research & Development,Female,Healthcare Representative,1,No
43,No,Travel_Rarely,Research & Development,Male,Research Director,4,Yes
38,No,Travel_Rarely,Research & Development,Female,Research Scientist,3,No
43,No,Travel_Frequently,Research & Development,Male,Laboratory Technician,3,Yes
48,No,Travel_Rarely,Research & Development,Female,Manager,7,No
44,No,Travel_Rarely,Research & Development,Male,Manager,4,Yes
22,No,Travel_Rarely,Research & Development,Male,Research Scientist,0,No
32,No,Travel_Rarely,Research & Development,Female,Research Scientist,1,Yes
30,No,Travel_Frequently,Research & Development,Female,Research Scientist,1,No
34,No,Travel_Rarely,Research & Development,Male,Research Scientist,1,No
26,No,Travel_Rarely,Research & Development,Female,Laboratory Technician,1,Yes
37,No,Travel_Rarely,Research & Development,Male,Manufacturing Director,1,No
35,No,Travel_Rarely,Research & Development,Male,Research Scientist,1,No
33,No,Travel_Frequently,Research & Development,Male,Healthcare Representative,3,No
36,No,Travel_Rarely,Research & Development,Male,Manufacturing Director,2,Yes
27,No,Travel_Rarely,Research & Development,Male,Research Scientist,0,No
20,Yes,Travel_Rarely,Research & Development,Male,Research Scientist,1,Yes
33,Yes,Travel_Frequently,Research & Development,Male,Research Scientist,1,Yes
35,No,Non-Travel,Research & Development,Male,Laboratory Technician,1,No
